"cond_open","cond_close","step_entry","profit","deals"
-0.5,0.5,0.15,"47.30",540
-0.5,0.5,0.2,"29.74",545
-0.5,0.5,0.25,"38.47",550
-0.5,0.5,0.3,"2.32",511
-0.5,0.6,0.1,"35.89",474
-0.5,0.6,0.15,"53.48",474
-0.5,0.6,0.2,"61.56",452
-0.5,0.6,0.25,"52.68",430
-0.5,0.6,0.3,"40.32",421
-0.5,0.7,0.1,"77.85",440
-0.5,0.7,0.15,"103.85",445
-0.5,0.7,0.2,"137.81",438
-0.5,0.7,0.25,"176.41",431
-0.5,0.7,0.3,"137.45",419
-0.5,0.8,0.1,"17.08",348
-0.5,0.8,0.15,"21.16",351
-0.5,0.8,0.2,"9.06",341
-0.5,0.8,0.25,"6.14",348
-0.5,0.8,0.3,"-27.59",329
-0.5,0.9,0.1,"34.03",308
-0.5,0.9,0.15,"28.75",302
-0.5,0.9,0.2,"25.23",302
-0.5,0.9,0.25,"2.63",298
-0.5,0.9,0.3,"-0.43",292
-0.5,1,0.1,"48.03",278
-0.5,1,0.15,"50.57",285
-0.5,1,0.2,"25.52",266
-0.5,1,0.25,"45.03",282
-0.5,1,0.3,"41.26",274
-0.4,0.1,0.1,"-10.31",1207
-0.4,0.1,0.15,"-27.03",1205
-0.4,0.1,0.2,"-40.36",1200
-0.4,0.1,0.25,"-55.56",1168
-0.4,0.1,0.3,"-57.16",1141
-0.4,0.2,0.1,"-8.69",891
-0.4,0.2,0.15,"-29.25",875
-0.4,0.2,0.2,"-41.91",903
-0.4,0.2,0.25,"-51.74",864
-0.4,0.2,0.3,"-61.16",837
-0.4,0.3,0.1,"8.88",764
-0.4,0.3,0.15,"15.61",777
-0.4,0.3,0.2,"7.14",767
-0.4,0.3,0.25,"-10.91",734
-0.4,0.3,0.3,"-18.14",722
-0.4,0.4,0.1,"18.47",696
-0.4,0.4,0.15,"2.42",666
-0.4,0.4,0.2,"-26.47",633
-0.4,0.4,0.25,"-29.07",618
-0.4,0.4,0.3,"-30.63",616
-0.4,0.5,0.1,"53.86",569
-0.4,0.5,0.15,"53.12",552
-0.4,0.5,0.2,"48.57",549
-0.4,0.5,0.25,"64.53",540
-0.4,0.5,0.3,"73.26",538
-0.4,0.6,0.1,"35.47",476
-0.4,0.6,0.15,"40.25",473
-0.4,0.6,0.2,"32.47",476
-0.4,0.6,0.25,"27.93",465
-0.4,0.6,0.3,"23.37",447
-0.4,0.7,0.1,"44.54",428
-0.4,0.7,0.15,"44.95",434
-0.4,0.7,0.2,"90.35",441
-0.4,0.7,0.25,"89.78",431
-0.4,0.7,0.3,"69.11",421
-0.4,0.8,0.1,"38.13",377
-0.4,0.8,0.15,"48.54",381
-0.4,0.8,0.2,"81.56",384
-0.4,0.8,0.25,"24.98",360
-0.4,0.8,0.3,"-2.10",358
-0.4,0.9,0.1,"57.25",333
-0.4,0.9,0.15,"67.01",327
-0.4,0.9,0.2,"69.07",328
-0.4,0.9,0.25,"34.56",317
-0.4,0.9,0.3,"67.97",310
-0.4,1,0.1,"78.91",326
-0.4,1,0.15,"52.43",311
-0.4,1,0.2,"18.98",295
-0.4,1,0.25,"50.24",289
-0.4,1,0.3,"3.11",286
-0.3,0.1,0.1,"-34.62",1169
-0.3,0.1,0.15,"-52.85",1149
-0.3,0.1,0.2,"-63.34",1125
-0.3,0.1,0.25,"-76.17",1099
-0.3,0.1,0.3,"-86.84",1046
-0.3,0.2,0.1,"-4.45",919
-0.3,0.2,0.15,"-27.80",851
-0.3,0.2,0.2,"-39.80",827
-0.3,0.2,0.25,"-59.50",811
-0.3,0.2,0.3,"-73.55",807
-0.3,0.3,0.1,"-1.06",750
-0.3,0.3,0.15,"-11.61",725
-0.3,0.3,0.2,"-30.33",715
-0.3,0.3,0.25,"-48.19",683
-0.3,0.3,0.3,"-50.81",692
-0.3,0.4,0.1,"4.92",633
-0.3,0.4,0.15,"-23.66",564
-0.3,0.4,0.2,"-39.32",545
-0.3,0.4,0.25,"-50.59",560
-0.3,0.4,0.3,"-57.17",526
-0.3,0.5,0.1,"15.93",540
-0.3,0.5,0.15,"10.18",549
-0.3,0.5,0.2,"-18.71",537
-0.3,0.5,0.25,"-3.50",538
-0.3,0.5,0.3,"-1.18",539
-0.3,0.6,0.1,"19.24",465
-0.3,0.6,0.15,"27.51",455
-0.3,0.6,0.2,"-25.87",446
-0.3,0.6,0.25,"25.12",452
-0.3,0.6,0.3,"-1.21",441
-0.3,0.7,0.1,"44.03",411
-0.3,0.7,0.15,"51.74",412
-0.3,0.7,0.2,"43.54",405
-0.3,0.7,0.25,"36.92",390
-0.3,0.7,0.3,"21.36",379
-0.3,0.8,0.1,"34.93",373
-0.3,0.8,0.15,"-7.76",334
-0.3,0.8,0.2,"-30.95",328
-0.3,0.8,0.25,"-34.92",331
-0.3,0.8,0.3,"-29.03",334
-0.3,0.9,0.1,"2.47",331
-0.3,0.9,0.15,"6.34",338
-0.3,0.9,0.2,"-25.52",316
-0.3,0.9,0.25,"-41.45",314
-0.3,0.9,0.3,"-29.78",317
-0.3,1,0.1,"19.84",280
-0.3,1,0.15,"19.58",295
-0.3,1,0.2,"-13.90",283
-0.3,1,0.25,"-48.19",268
-0.3,1,0.3,"-41.92",258
-0.2,0.1,0.1,"-43.12",1105
-0.2,0.1,0.15,"-58.18",1130
-0.2,0.1,0.2,"-72.12",1104
-0.2,0.1,0.25,"-80.40",1062
-0.2,0.1,0.3,"-83.90",1055
-0.2,0.2,0.1,"-17.55",894
-0.2,0.2,0.15,"-42.90",878
-0.2,0.2,0.2,"-57.69",845
-0.2,0.2,0.25,"-69.29",825
-0.2,0.2,0.3,"-79.76",780
-0.2,0.3,0.1,"-35.78",749
-0.2,0.3,0.15,"-35.60",760
-0.2,0.3,0.2,"-45.59",735
-0.2,0.3,0.25,"-56.75",702
-0.2,0.3,0.3,"-65.83",681
-0.2,0.4,0.1,"-0.20",636
-0.2,0.4,0.15,"-24.78",615
-0.2,0.4,0.2,"-37.71",563
-0.2,0.4,0.25,"-38.05",526
-0.2,0.4,0.3,"-41.69",516
-0.2,0.5,0.1,"15.67",510
-0.2,0.5,0.15,"8.18",479
-0.2,0.5,0.2,"-11.23",470
-0.2,0.5,0.25,"-22.12",468
-0.2,0.5,0.3,"-60.55",467
-0.2,0.6,0.1,"14.90",451
-0.2,0.6,0.15,"-7.04",461
-0.2,0.6,0.2,"-33.71",414
-0.2,0.6,0.25,"-22.69",457
-0.2,0.6,0.3,"-51.49",426
-0.2,0.7,0.1,"35.35",375
-0.2,0.7,0.15,"39.30",367
-0.2,0.7,0.2,"33.19",369
-0.2,0.7,0.25,"-12.00",337
-0.2,0.7,0.3,"-58.15",323
-0.2,0.8,0.1,"31.66",352
-0.2,0.8,0.15,"2.93",335
-0.2,0.8,0.2,"1.79",341
-0.2,0.8,0.25,"-20.04",315
-0.2,0.8,0.3,"-42.05",333
-0.2,0.9,0.1,"39.22",305
-0.2,0.9,0.15,"-13.93",283
-0.2,0.9,0.2,"-32.50",292
-0.2,0.9,0.25,"-39.43",271
-0.2,0.9,0.3,"-44.25",279
-0.2,1,0.1,"29.60",284
-0.2,1,0.15,"6.55",276
-0.2,1,0.2,"16.91",296
