"se","sc","scal","profit","deals"
0.15,0.5,1.9,"365.99",107
0.15,0.5,1.95,"365.99",107
0.15,0.5,2,"360.20",107
0.15,0.55,1.1,"582.56",107
0.15,0.55,1.15,"579.88",107
0.15,0.55,1.2,"515.49",107
0.15,0.55,1.25,"501.77",107
0.15,0.55,1.3,"490.03",107
0.15,0.55,1.35,"474.89",107
0.15,0.55,1.4,"453.43",107
0.15,0.55,1.45,"437.97",107
0.15,0.55,1.5,"437.48",107
0.15,0.55,1.55,"420.31",107
0.15,0.55,1.6,"422.49",107
0.15,0.55,1.65,"415.76",107
0.15,0.55,1.7,"415.76",107
0.15,0.55,1.75,"415.76",107
0.15,0.55,1.8,"402.01",107
0.15,0.55,1.85,"410.37",107
0.15,0.55,1.9,"410.37",107
0.15,0.55,1.95,"410.37",107
0.15,0.55,2,"403.40",107
0.15,0.6,1.1,"662.42",107
0.15,0.6,1.15,"659.14",107
0.15,0.6,1.2,"584.43",107
0.15,0.6,1.25,"567.82",107
0.15,0.6,1.3,"553.62",107
0.15,0.6,1.35,"535.35",107
0.15,0.6,1.4,"509.56",107
0.15,0.6,1.45,"491.02",107
0.15,0.6,1.5,"490.44",107
0.15,0.6,1.55,"469.91",107
0.15,0.6,1.6,"472.53",107
0.15,0.6,1.65,"464.50",107
0.15,0.6,1.7,"464.50",107
0.15,0.6,1.75,"464.50",107
0.15,0.6,1.8,"448.10",107
0.15,0.6,1.85,"458.05",107
0.15,0.6,1.9,"458.05",107
0.15,0.6,1.95,"458.05",107
0.15,0.6,2,"449.75",107
0.15,0.65,1.1,"751.06",107
0.15,0.65,1.15,"747.08",107
0.15,0.65,1.2,"660.15",107
0.15,0.65,1.25,"640.20",107
0.15,0.65,1.3,"623.17",107
0.15,0.65,1.35,"601.31",107
0.15,0.65,1.4,"570.55",107
0.15,0.65,1.45,"548.52",107
0.15,0.65,1.5,"547.82",107
0.15,0.65,1.55,"523.48",107
0.15,0.65,1.6,"526.59",107
0.15,0.65,1.65,"517.08",107
0.15,0.65,1.7,"517.08",107
0.15,0.65,1.75,"517.08",107
0.15,0.65,1.8,"497.70",107
0.15,0.65,1.85,"509.44",107
0.15,0.65,1.9,"509.44",107
0.15,0.65,1.95,"509.44",107
0.15,0.65,2,"499.63",107
0.15,0.7,1.1,"849.42",107
0.15,0.7,1.15,"844.62",107
0.15,0.7,1.2,"743.41",107
0.15,0.7,1.25,"719.60",107
0.15,0.7,1.3,"699.33",107
0.15,0.7,1.35,"673.36",107
0.15,0.7,1.4,"636.92",107
0.15,0.7,1.45,"610.91",107
0.15,0.7,1.5,"610.09",107
0.15,0.7,1.55,"581.42",107
0.15,0.7,1.6,"585.09",107
0.15,0.7,1.65,"573.91",107
0.15,0.7,1.7,"573.91",107
0.15,0.7,1.75,"573.91",107
0.15,0.7,1.8,"551.15",107
0.15,0.7,1.85,"564.92",107
0.15,0.7,1.9,"564.92",107
0.15,0.7,1.95,"564.92",107
0.15,0.7,2,"553.41",107
0.15,0.75,1.1,"958.54",107
0.15,0.75,1.15,"952.79",107
0.15,0.75,1.2,"835.01",107
0.15,0.75,1.25,"806.78",107
0.15,0.75,1.3,"782.78",107
0.15,0.75,1.35,"752.10",107
0.15,0.75,1.4,"709.20",107
0.15,0.75,1.45,"678.68",107
0.15,0.75,1.5,"677.72",107
0.15,0.75,1.55,"644.14",107
0.15,0.75,1.6,"648.46",107
0.15,0.75,1.65,"635.38",107
0.15,0.75,1.7,"635.38",107
0.15,0.75,1.75,"635.38",107
0.15,0.75,1.8,"608.82",107
0.15,0.75,1.85,"624.86",107
0.15,0.75,1.9,"624.86",107
0.15,0.75,1.95,"624.86",107
0.15,0.75,2,"611.43",107
0.15,0.8,1.1,"1079.55",107
0.15,0.8,1.15,"1072.70",107
0.15,0.8,1.2,"935.81",107
0.15,0.8,1.25,"902.50",107
0.15,0.8,1.3,"874.23",107
0.15,0.8,1.35,"838.18",107
0.15,0.8,1.4,"787.93",107
0.15,0.8,1.45,"752.30",107
0.15,0.8,1.5,"751.19",107
0.15,0.8,1.55,"712.07",107
0.15,0.8,1.6,"717.11",107
0.15,0.8,1.65,"701.89",107
0.15,0.8,1.7,"701.89",107
0.15,0.8,1.75,"701.89",107
0.15,0.8,1.8,"671.06",107
0.15,0.8,1.85,"689.65",107
0.15,0.8,1.9,"689.65",107
0.15,0.8,1.95,"689.65",107
0.15,0.8,2,"674.06",107
0.2,0.1,1.1,"241.35",107
0.2,0.1,1.15,"241.17",107
0.2,0.1,1.2,"239.17",107
0.2,0.1,1.25,"237.97",107
0.2,0.1,1.3,"235.95",107
0.2,0.1,1.35,"234.58",107
0.2,0.1,1.4,"232.59",107
0.2,0.1,1.45,"231.12",107
0.2,0.1,1.5,"231.08",107
0.2,0.1,1.55,"229.71",107
0.2,0.1,1.6,"229.90",107
0.2,0.1,1.65,"229.23",107
0.2,0.1,1.7,"229.23",107
0.2,0.1,1.75,"229.23",107
0.2,0.1,1.8,"227.85",107
0.2,0.1,1.85,"228.70",107
0.2,0.1,1.9,"228.70",107
0.2,0.1,1.95,"228.70",107
0.2,0.1,2,"228.00",107
0.2,0.15,1.1,"279.28",107
0.2,0.15,1.15,"278.97",107
0.2,0.15,1.2,"276.01",107
0.2,0.15,1.25,"274.03",107
0.2,0.15,1.3,"271.02",107
0.2,0.15,1.35,"268.77",107
0.2,0.15,1.4,"265.48",107
0.2,0.15,1.45,"263.05",107
0.2,0.15,1.5,"263.00",107
0.2,0.15,1.55,"262.84",107
0.2,0.15,1.6,"263.15",107
0.2,0.15,1.65,"262.05",107
0.2,0.15,1.7,"262.05",107
0.2,0.15,1.75,"262.05",107
0.2,0.15,1.8,"259.76",107
0.2,0.15,1.85,"261.17",107
0.2,0.15,1.9,"261.17",107
0.2,0.15,1.95,"261.17",107
0.2,0.15,2,"260.01",107
0.2,0.2,1.1,"318.79",107
0.2,0.2,1.15,"318.35",107
0.2,0.2,1.2,"314.70",107
0.2,0.2,1.25,"311.78",107
0.2,0.2,1.3,"307.89",107
0.2,0.2,1.35,"304.59",107
0.2,0.2,1.4,"299.80",107
0.2,0.2,1.45,"296.26",107
0.2,0.2,1.5,"296.18",107
0.2,0.2,1.55,"296.40",107
0.2,0.2,1.6,"296.85",107
0.2,0.2,1.65,"295.25",107
0.2,0.2,1.7,"295.25",107
0.2,0.2,1.75,"295.25",107
0.2,0.2,1.8,"291.92",107
0.2,0.2,1.85,"293.97",107
0.2,0.2,1.9,"293.97",107
0.2,0.2,1.95,"293.97",107
0.2,0.2,2,"292.28",107
0.2,0.25,1.1,"365.74",107
0.2,0.25,1.15,"365.12",107
0.2,0.25,1.2,"361.36",107
0.2,0.25,1.25,"357.29",107
0.2,0.25,1.3,"352.59",107
0.2,0.25,1.35,"348.01",107
0.2,0.25,1.4,"341.36",107
0.2,0.25,1.45,"336.46",107
0.2,0.25,1.5,"336.35",107
0.2,0.25,1.55,"333.94",107
0.2,0.25,1.6,"334.57",107
0.2,0.25,1.65,"332.37",107
0.2,0.25,1.7,"332.37",107
0.2,0.25,1.75,"332.37",107
0.2,0.25,1.8,"327.83",107
0.2,0.25,1.85,"330.62",107
0.2,0.25,1.9,"330.62",107
0.2,0.25,1.95,"330.62",107
0.2,0.25,2,"328.32",107
0.2,0.3,1.1,"425.70",107
0.2,0.3,1.15,"424.85",107
0.2,0.3,1.2,"422.48",107
0.2,0.3,1.25,"416.97",107
0.2,0.3,1.3,"411.59",107
0.2,0.3,1.35,"405.38",107
0.2,0.3,1.4,"396.42",107
0.2,0.3,1.45,"389.83",107
0.2,0.3,1.5,"389.68",107
0.2,0.3,1.55,"383.96",107
0.2,0.3,1.6,"384.80",107
0.2,0.3,1.65,"381.85",107
0.2,0.3,1.7,"381.85",107
0.2,0.3,1.75,"381.85",107
0.2,0.3,1.8,"375.76",107
0.2,0.3,1.85,"379.48",107
0.2,0.3,1.9,"379.48",107
0.2,0.3,1.95,"379.48",107
0.2,0.3,2,"376.40",107
0.2,0.35,1.1,"554.76",107
0.2,0.35,1.15,"553.49",107
0.2,0.35,1.2,"556.49",107
0.2,0.35,1.25,"548.45",107
0.2,0.35,1.3,"541.51",107
0.2,0.35,1.35,"532.47",107
0.2,0.35,1.4,"519.46",107
0.2,0.35,1.45,"509.93",107
0.2,0.35,1.5,"509.67",107
0.2,0.35,1.55,"498.95",107
0.2,0.35,1.6,"500.19",107
0.2,0.35,1.65,"495.96",107
0.2,0.35,1.7,"495.96",107
0.2,0.35,1.75,"495.96",107
0.2,0.35,1.8,"487.23",107
0.2,0.35,1.85,"492.58",107
0.2,0.35,1.9,"492.58",107
0.2,0.35,1.95,"492.58",107
0.2,0.35,2,"488.15",107
0.2,0.4,1.1,"9670.87",107
0.2,0.4,1.15,"9648.78",107
0.2,0.4,1.2,"9910.25",107
0.2,0.4,1.25,"9770.38",107
0.2,0.4,1.3,"9649.90",107
0.2,0.4,1.35,"9493.03",107
0.2,0.4,1.4,"9267.98",107
0.2,0.4,1.45,"9103.64",107
0.2,0.4,1.5,"9098.76",107
0.2,0.4,1.55,"8914.26",107
0.2,0.4,1.6,"8936.10",107
0.2,0.4,1.65,"8863.32",107
0.2,0.4,1.7,"8863.32",107
0.2,0.4,1.75,"8863.32",107
0.2,0.4,1.8,"8713.44",107
0.2,0.4,1.85,"8805.19",107
0.2,0.4,1.9,"8805.19",107
0.2,0.4,1.95,"8805.19",107
0.2,0.4,2,"8729.13",107
0.2,0.45,1.1,"186.56",107
0.2,0.45,1.15,"185.81",107
0.2,0.45,1.2,"213.73",107
0.2,0.45,1.25,"208.81",107
0.2,0.45,1.3,"204.57",107
0.2,0.45,1.35,"199.07",107
0.2,0.45,1.4,"191.19",107
0.2,0.45,1.45,"185.46",107
0.2,0.45,1.5,"185.28",107
0.2,0.45,1.55,"178.85",107
0.2,0.45,1.6,"179.62",107
0.2,0.45,1.65,"177.09",107
0.2,0.45,1.7,"177.09",107
0.2,0.45,1.75,"177.09",107
0.2,0.45,1.8,"171.89",107
0.2,0.45,1.85,"175.07",107
0.2,0.45,1.9,"175.07",107
0.2,0.45,1.95,"175.07",107
0.2,0.45,2,"172.43",107
0.2,0.5,1.1,"94.04",107
0.2,0.5,1.15,"93.48",107
0.2,0.5,1.2,"384.42",107
0.2,0.5,1.25,"375.98",107
0.2,0.5,1.3,"368.74",107
0.2,0.5,1.35,"359.34",107
0.2,0.5,1.4,"345.93",107
0.2,0.5,1.45,"336.20",107
0.2,0.5,1.5,"335.89",107
0.2,0.5,1.55,"325.00",107
0.2,0.5,1.6,"326.33",107
0.2,0.5,1.65,"322.04",107
